transaction_key,case_type,actual_fraud,fraud_probability,driver_rank,feature,friendly_name,feature_value,shap_contribution_log_odds,direction
TX_c7a06d65,false_positive,0,0.9884778885214544,1,amount,Transaction amount,875345.34,2.587114716857489,Higher fraud risk
TX_c7a06d65,false_positive,0,0.9884778885214544,2,distance_from_home,Distance from home,1.0,2.0855821297820913,Higher fraud risk
TX_c7a06d65,false_positive,0,0.9884778885214544,3,card_type,Card type,Platinum Credit,-1.3106250243668074,Lower fraud risk
TX_c7a06d65,false_positive,0,0.9884778885214544,4,transaction_hour,Transaction hour,3,1.256083248753749,Higher fraud risk
TX_c7a06d65,false_positive,0,0.9884778885214544,5,amount_vs_customer_average,Amount vs customer average,20.93564749008369,1.2028861632571355,Higher fraud risk
TX_68efd105,false_positive,0,0.9875475645844759,1,distance_from_home,Distance from home,1.0,2.5286353894614524,Higher fraud risk
TX_68efd105,false_positive,0,0.9875475645844759,2,merchant,Merchant,HBO Max,1.7523509057348512,Higher fraud risk
TX_68efd105,false_positive,0,0.9875475645844759,3,transaction_hour,Transaction hour,1,1.2978482854260194,Higher fraud risk
TX_68efd105,false_positive,0,0.9875475645844759,4,merchant_type,Merchant type,streaming,0.7018297911382542,Higher fraud risk
TX_68efd105,false_positive,0,0.9875475645844759,5,card_present,Card present,0,-0.6617764059738659,Lower fraud risk
TX_d6fd6838,false_negative,1,0.7499898091354973,1,distance_from_home,Distance from home,1.0,2.6313096740815665,Higher fraud risk
TX_d6fd6838,false_negative,1,0.7499898091354973,2,transaction_hour,Transaction hour,2,1.167701644661887,Higher fraud risk
TX_d6fd6838,false_negative,1,0.7499898091354973,3,card_type,Card type,Platinum Credit,-0.9658193723100037,Lower fraud risk
TX_d6fd6838,false_negative,1,0.7499898091354973,4,amount,Transaction amount,213866.34,0.7475080710865143,Higher fraud risk
TX_d6fd6838,false_negative,1,0.7499898091354973,5,card_present,Card present,0,-0.7440492667594856,Lower fraud risk
TX_cf8c1745,false_negative,1,0.7499845793149846,1,distance_from_home,Distance from home,1.0,2.3519698953081547,Higher fraud risk
TX_cf8c1745,false_negative,1,0.7499845793149846,2,transaction_hour,Transaction hour,3,1.2871284018326643,Higher fraud risk
TX_cf8c1745,false_negative,1,0.7499845793149846,3,merchant,Merchant,Safeway,0.8222272743031295,Higher fraud risk
TX_cf8c1745,false_negative,1,0.7499845793149846,4,card_present,Card present,0,-0.7658354668403513,Lower fraud risk
TX_cf8c1745,false_negative,1,0.7499845793149846,5,currency,Currency,JPY,-0.4284805463026857,Lower fraud risk
TX_7b0a50b4,false_negative,1,0.7499351226569513,1,distance_from_home,Distance from home,1.0,1.9430498006945292,Higher fraud risk
TX_7b0a50b4,false_negative,1,0.7499351226569513,2,merchant,Merchant,Chili's,1.4693834384748679,Higher fraud risk
TX_7b0a50b4,false_negative,1,0.7499351226569513,3,card_present,Card present,0,-0.7883001126525876,Lower fraud risk
TX_7b0a50b4,false_negative,1,0.7499351226569513,4,amount_vs_customer_average,Amount vs customer average,5.122739493680845,0.6196960530793355,Higher fraud risk
TX_7b0a50b4,false_negative,1,0.7499351226569513,5,merchant_type,Merchant type,casual,0.5798413854651653,Higher fraud risk
TX_b7ad106a,false_negative,1,0.7499249113741702,1,distance_from_home,Distance from home,1.0,2.711007851730955,Higher fraud risk
TX_b7ad106a,false_negative,1,0.7499249113741702,2,currency,Currency,RUB,1.5559300948825474,Higher fraud risk
TX_b7ad106a,false_negative,1,0.7499249113741702,3,amount,Transaction amount,136167.41,1.2276657313727803,Higher fraud risk
TX_b7ad106a,false_negative,1,0.7499249113741702,4,card_type,Card type,Platinum Credit,-1.0776345902548001,Lower fraud risk
TX_b7ad106a,false_negative,1,0.7499249113741702,5,card_present,Card present,0,-0.8223469251968866,Lower fraud risk
TX_7a03a8c4,false_negative,1,0.7498911296351868,1,distance_from_home,Distance from home,1.0,2.7493428112400022,Higher fraud risk
TX_7a03a8c4,false_negative,1,0.7498911296351868,2,merchant,Merchant,Spotify,1.3537681914838668,Higher fraud risk
TX_7a03a8c4,false_negative,1,0.7498911296351868,3,card_present,Card present,0,-0.7907011997471322,Lower fraud risk
TX_7a03a8c4,false_negative,1,0.7498911296351868,4,merchant_type,Merchant type,streaming,0.5344008322174649,Higher fraud risk
TX_7a03a8c4,false_negative,1,0.7498911296351868,5,currency,Currency,MXN,0.4801485840012915,Higher fraud risk
TX_30da8954,low_risk_true_negative,0,1.0709588639444586e-05,1,amount,Transaction amount,208.04,-2.453614014926839,Lower fraud risk
TX_30da8954,low_risk_true_negative,0,1.0709588639444586e-05,2,merchant,Merchant,Etsy,-1.4733061977482802,Lower fraud risk
TX_30da8954,low_risk_true_negative,0,1.0709588639444586e-05,3,distance_from_home,Distance from home,0.0,-1.1196749732343352,Lower fraud risk
TX_30da8954,low_risk_true_negative,0,1.0709588639444586e-05,4,card_present,Card present,0,-0.7254512844593229,Lower fraud risk
TX_30da8954,low_risk_true_negative,0,1.0709588639444586e-05,5,currency,Currency,USD,-0.6957918030340877,Lower fraud risk
TX_438a3b1e,low_risk_true_negative,0,1.0967514959901729e-05,1,amount,Transaction amount,135.39,-2.7580642936956394,Lower fraud risk
TX_438a3b1e,low_risk_true_negative,0,1.0967514959901729e-05,2,distance_from_home,Distance from home,0.0,-1.103828118624703,Lower fraud risk
TX_438a3b1e,low_risk_true_negative,0,1.0967514959901729e-05,3,log_amount,Transaction amount scale,4.915518428938784,-0.8329129506008279,Lower fraud risk
TX_438a3b1e,low_risk_true_negative,0,1.0967514959901729e-05,4,merchant,Merchant,CVS Pharmacy,-0.8193510884468785,Lower fraud risk
TX_438a3b1e,low_risk_true_negative,0,1.0967514959901729e-05,5,card_present,Card present,0,-0.7341941355458461,Lower fraud risk
TX_c9adb185,low_risk_true_negative,0,1.1288998206651964e-05,1,amount,Transaction amount,201.11,-2.37049706924662,Lower fraud risk
TX_c9adb185,low_risk_true_negative,0,1.1288998206651964e-05,2,merchant,Merchant,Etsy,-1.494805515797427,Lower fraud risk
TX_c9adb185,low_risk_true_negative,0,1.1288998206651964e-05,3,distance_from_home,Distance from home,0.0,-1.099612314832392,Lower fraud risk
TX_c9adb185,low_risk_true_negative,0,1.1288998206651964e-05,4,card_present,Card present,0,-0.7242920385438041,Lower fraud risk
TX_c9adb185,low_risk_true_negative,0,1.1288998206651964e-05,5,currency,Currency,USD,-0.6770008786493805,Lower fraud risk
TX_aa51ed13,low_risk_true_negative,0,1.1466449624456958e-05,1,amount,Transaction amount,252.13,-2.836261599102099,Lower fraud risk
TX_aa51ed13,low_risk_true_negative,0,1.1466449624456958e-05,2,distance_from_home,Distance from home,0.0,-1.1224309918599333,Lower fraud risk
TX_aa51ed13,low_risk_true_negative,0,1.1466449624456958e-05,3,merchant,Merchant,CVS Pharmacy,-0.9212691629339651,Lower fraud risk
TX_aa51ed13,low_risk_true_negative,0,1.1466449624456958e-05,4,card_present,Card present,0,-0.7411291519405435,Lower fraud risk
TX_aa51ed13,low_risk_true_negative,0,1.1466449624456958e-05,5,log_amount,Transaction amount scale,5.533903190752134,-0.6740886288275187,Lower fraud risk
TX_facc6965,low_risk_true_negative,0,1.1512845531397474e-05,1,amount,Transaction amount,119.03,-2.429972926163427,Lower fraud risk
TX_facc6965,low_risk_true_negative,0,1.1512845531397474e-05,2,currency,Currency,CAD,-1.1641175127102528,Lower fraud risk
TX_facc6965,low_risk_true_negative,0,1.1512845531397474e-05,3,distance_from_home,Distance from home,0.0,-1.0792500338212752,Lower fraud risk
TX_facc6965,low_risk_true_negative,0,1.1512845531397474e-05,4,merchant,Merchant,Local Gas Station,-0.755404405684999,Lower fraud risk
TX_facc6965,low_risk_true_negative,0,1.1512845531397474e-05,5,card_present,Card present,0,-0.7399746601590117,Lower fraud risk
