dimension,category,transactions,fraud_transactions,fraud_rate_pct,avg_transaction_amount,total_transaction_value,fraud_transaction_value
currency,MXN,785704,298841.0,38.0348,15179.9,11926906889.98,6767799466.03
currency,RUB,793730,299425.0,37.7238,56661.24,44973727726.78,25321122840.91
currency,BRL,804800,298629.0,37.106,3784.36,3045653868.21,1683434472.5
currency,NGN,849840,298600.0,35.136,308284.4,261992417199.83,138728842683.59
currency,AUD,496695,37652.0,7.5805,791.69,393228133.22,57719986.45
currency,USD,500060,37312.0,7.4615,565.54,282803487.64,42058688.57
currency,JPY,527393,37592.0,7.1279,65310.79,34444453762.01,4719137393.68
currency,EUR,1065751,74631.0,7.0027,493.53,525982469.59,72254155.93
currency,CAD,532632,37278.0,6.9988,696.53,370991930.86,53072063.57
currency,GBP,538493,37345.0,6.9351,420.92,226662871.67,30619477.79
currency,SGD,588668,37414.0,6.3557,805.71,474296322.0,57080250.0
country,Mexico,785704,298841.0,38.0348,15179.9,11926906889.98,6767799466.03
country,Russia,793730,299425.0,37.7238,56661.24,44973727726.78,25321122840.91
country,Brazil,804800,298629.0,37.106,3784.36,3045653868.21,1683434472.5
country,Nigeria,849840,298600.0,35.136,308284.4,261992417199.83,138728842683.59
country,Australia,496695,37652.0,7.5805,791.69,393228133.22,57719986.45
country,USA,500060,37312.0,7.4615,565.54,282803487.64,42058688.57
country,Japan,527393,37592.0,7.1279,65310.79,34444453762.01,4719137393.68
country,Germany,524464,37205.0,7.0939,502.4,263492742.99,36019634.64
country,Canada,532632,37278.0,6.9988,696.53,370991930.86,53072063.57
country,UK,538493,37345.0,6.9351,420.92,226662871.67,30619477.79
country,France,541287,37426.0,6.9143,484.94,262489726.6,36234521.29
country,Singapore,588668,37414.0,6.3557,805.71,474296322.0,57080250.0
city_size,medium,7284598,1479864.0,20.315,49219.52,358544444363.52,177516428755.48
city_size,large,199168,14855.0,7.4585,565.76,112680298.27,16712723.54
card_type,Basic Credit,1415469,282728.0,19.9742,37835.92,53555568491.95,32258907898.33
card_type,Platinum Credit,1533013,306190.0,19.9731,75331.25,115483790941.73,38502361262.6
card_type,Gold Credit,1447260,289060.0,19.9729,49349.26,71421203875.6,36756980443.3
card_type,Premium Debit,1539661,307502.0,19.9721,44241.42,68116793538.89,38576833843.15
card_type,Basic Debit,1548363,309239.0,19.972,32343.69,50079767813.62,31438058031.64
card_present,true,651047,651047.0,100.0,118930.25,77429180777.47,77429180777.47
card_present,false,6832719,843672.0,12.3475,41159.01,281227943884.32,100103960701.55
device,Chip Reader,217324,217324.0,100.0,119000.35,25861631232.56,25861631232.56
device,Magnetic Stripe,217204,217204.0,100.0,119552.15,25967205587.42,25967205587.42
device,NFC Payment,216519,216519.0,100.0,118236.02,25600343957.49,25600343957.49
device,Firefox,1120952,142171.0,12.6831,40511.03,45410924072.56,16955210789.69
device,Safari,1120245,141379.0,12.6204,43041.82,48217384003.64,16754850004.96
device,Android App,1126117,140844.0,12.507,42223.05,47548092858.61,16724293135.66
device,Chrome,1132384,140087.0,12.371,39888.21,45168766545.94,16777650126.76
device,iOS App,1143461,140306.0,12.2703,41467.18,47416107134.12,16517969332.6
device,Edge,1189560,138885.0,11.6753,39902.71,47466669269.45,16373987311.88
channel,pos,651047,651047.0,100.0,118930.25,77429180777.47,77429180777.47
channel,mobile,2269578,281150.0,12.3878,41842.23,94964199992.73,33242262468.26
channel,web,4563141,562522.0,12.3275,40819.2,186263743891.59,66861698233.29
high_risk_merchant,true,1871963,374367.0,19.9986,63045.19,118018272239.02,63063938124.82
high_risk_merchant,false,5611803,1120352.0,19.9642,42880.84,240638852422.77,114469203354.2
transaction_hour,1,280136,165999.0,59.2566,82479.77,23105552698.84,19660166537.08
transaction_hour,2,280472,166025.0,59.1949,82206.57,23056642479.76,19649859711.57
transaction_hour,3,280031,165621.0,59.1438,82835.45,23196492979.61,19750336323.57
transaction_hour,4,281466,166418.0,59.1254,82583.89,23244558340.48,19793065215.59
transaction_hour,0,155759,41519.0,26.6559,54766.09,8530311983.54,5067067849.28
transaction_hour,6,196875,41622.0,21.1413,48576.98,9563593807.11,4900012235.57
transaction_hour,21,196566,41049.0,20.8831,48936.0,9619152845.1,4926737208.53
transaction_hour,5,208529,41829.0,20.0591,47522.96,9909914425.62,4855994744.27
transaction_hour,23,281729,41457.0,14.7152,43204.77,12172037015.68,4838341726.73
transaction_hour,14,300152,41665.0,13.8813,41896.02,12575175207.81,4800529950.5
transaction_hour,15,300554,41705.0,13.876,42462.87,12762385732.54,4940762285.09
transaction_hour,10,300516,41410.0,13.7796,42182.45,12676501109.22,4948582680.78
transaction_hour,7,301176,41318.0,13.7189,42111.48,12682965644.43,4836054217.78
transaction_hour,20,300832,41188.0,13.6914,42502.42,12786087932.01,4910230798.6
transaction_hour,22,332961,41431.0,12.4432,41441.32,13798342990.25,4983029594.51
transaction_hour,11,352499,41857.0,11.8744,40660.47,14332776702.41,4987105664.77
transaction_hour,13,352556,41829.0,11.8645,40989.15,14450971058.1,4990948916.08
transaction_hour,9,352451,41522.0,11.7809,40788.1,14375806716.82,4966928742.52
transaction_hour,16,352379,41407.0,11.7507,41231.22,14529016848.43,5056828431.89
transaction_hour,19,404823,41786.0,10.322,39877.81,16143454769.23,5092881425.54
transaction_hour,12,404942,41716.0,10.3017,39181.43,15866205135.4,4924773600.08
transaction_hour,8,405312,41523.0,10.2447,39568.82,16037718553.7,4994650863.37
transaction_hour,17,404657,41423.0,10.2366,39164.09,15848025170.2,4770339953.58
transaction_hour,18,456393,41400.0,9.0711,38110.65,17393434515.5,4887912801.74
weekend_transaction,true,1929663,385442.0,19.9746,48002.32,92628292588.81,45980202260.71
weekend_transaction,false,5554103,1109277.0,19.9722,47897.71,266028832072.98,131552939218.31
